"municipality" "state" "obras" "region" "ibge_code7" "dsu_inf" "dsu_cre" "dsu_pre" "dsu_fun" "dsu_ai" "dsu_af" "ibge_code" "atu_inf" "atu_cre" "atu_pre" "atu_fun" "atu_ai" "atu_af" "tdi_fun" "tdi_ai" "tdi_af" "ideb_ai_2015" "ideb_af_2015" "area" "low_income_families2010" "poor_families2010" "transfers_fpm2016" "transfers_fundeb2016" "transfers_total2016" "partymayor" "partymayorpmdb" "partymayorpsdb" "partymayorpsd" "partymayorpp" "partymayorpsb" "partymayorpdt" "partymayorpt" "profprofessormayor" "lameduckmayor" "femalemayor" "nonwhitemayor" "agemayor" "avgpartycouncilorpmdb" "avgpartycouncilorpsdb" "avgpartycouncilorpsd" "avgpartycouncilorpp" "avgpartycouncilorpsb" "avgpartycouncilorpdt" "avgpartycouncilorpt" "avgprofprofessorcouncilor" "avgfemalecouncilor" "avgnonwhitecouncilor" "avgagecouncilor" "vtreataic_940_95" "vtreataic_944_52" "vtreataic_946_29" "vtreataic_944_15" "vtreataic_944_39" "vtreataic_942_13" "vtreataic_940_2" "vtreataic_942_67" "vtreataic_937_41" "vtreataic_941_05" "vtreataic_936_98" "vtreataic_942_44" "vtreataic_945_24" "vtreataic_938" "vtreataic_944_86" "vtreataic_945_14" "vtreataic_944_62" "vtreataic_945_47" "vtreataic_939_93"
"Parnaíba" "PI" 4 "Nordeste" 2207702 69.5 65.2 69.8 85.4 80.4 92.5 "220770" 17.3 14.7 18.4 23.7 22.8 27.9 33.2 29.1 45.1 4.2 3.6 435.56 20351 14865 73831187.03 61424939.87 31718903.8 "SD" 0 0 0 0 0 0 0 0 0 0 0 73 0 0 0.0588235294117647 0.117647058823529 0.0588235294117647 0.0588235294117647 0.0588235294117647 0.117647058823529 0.117647058823529 0.411764705882353 47.1764705882353 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Itapema" "SC" 2 "Sul" 4208302 83 79.5 89.5 89.2 87.6 86.7 "420830" 14 13.7 14.2 23.7 23.5 24 12.6 8.6 18.7 6.4 5 59.02 2101 1117 21536484.59 31355041.1 12318282.46 "PSD" 0 0 1 0 0 0 0 0 0 1 0 47 0.153846153846154 0.230769230769231 0.0769230769230769 0.0769230769230769 0 0.0769230769230769 0 0 0.0769230769230769 0.0769230769230769 44.6153846153846 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1
"Milagres do Maranhão" "MA" 4 "Nordeste" 2106672 39.1 25 54.5 65.2 62.2 67.3 "210667" 15.5 14.3 17.1 23.5 21.7 28.3 22.8 13 34 3.9 2.8 439.37 1506 1323 5986982.99 7599016.87 3502013.83 "PRB" 0 0 0 0 0 0 0 0 0 0 1 21 0.222222222222222 0 0 0.111111111111111 0 0.111111111111111 0 0 0.111111111111111 0.555555555555556 44.8888888888889 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1
"Diamante" "PB" 1 "Nordeste" 2505600 33.3 0 42.9 52.2 35.5 80 "250560" 16.5 19 15.7 19 18.1 23.2 28.8 28.6 29 4.4 3.4 269.11 1226 977 6884603.08 3589065.44 2377263.79 "PSDB" 0 1 0 0 0 0 0 0 0 1 1 63 0.333333333333333 0.111111111111111 0.111111111111111 0 0.222222222222222 0 0 0 0 0.666666666666667 44.3333333333333 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0
"Carangola" "MG" 2 "Sudeste" 3113305 82.8 78.4 87.8 96.3 93.5 100 "311330" 12.5 9.8 14.5 15 14.2 16.4 22.7 16.4 40.6 4.5 3.6 352.51 3605 2106 18561396.58 6153743.39 5717660.46 "PMDB" 1 0 0 0 0 0 0 0 0 0 0 65 0.166666666666667 0.0833333333333333 0 0 0.166666666666667 0.25 0 0 0.0833333333333333 0.166666666666667 47.5833333333333 1 1 1 1 1 0 1 1 1 0 0 0 1 1 1 1 1 1 1
"Serrinha" "BA" 1 "Nordeste" 2930501 43.2 52.5 35.2 61.2 50.2 69.5 "293050" 16.4 17.5 15.7 19.9 17.9 22.3 42.3 33.5 51.9 3.7 3.1 568.41 12713 9779 33636626 46793167.02 18964692.04 "PMDB" 1 0 0 0 0 0 0 0 0 0 0 40 0.0588235294117647 0.0588235294117647 0.0588235294117647 0.0588235294117647 0.0588235294117647 0 0.176470588235294 0 0.235294117647059 0.705882352941177 41.5294117647059 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1
"Cachoeira do Piriá" "PA" 4 "Norte" 1501956 55.9 100 54.5 52.6 45.8 56.8 "150195" 18.6 12 18.8 19.6 18.8 21.2 30.1 20.6 43.9 3.4 3 2418.28 4918 4405 14807648.09 18900677.12 8522853.1 "PR" 0 0 0 0 0 0 0 0 0 0 0 36 0.181818181818182 0.0909090909090909 0 0 0 0 0.181818181818182 0 0.181818181818182 0.909090909090909 44.0909090909091 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1
"Afonso Cláudio" "ES" 1 "Sudeste" 3200102 97.8 97.7 98.1 97.6 97.2 97 "320010" 10.3 9.2 11.4 21.7 21.1 25.3 18.3 11.7 30.5 5.9 4.6 954.66 4339 3067 17669956.84 13919280.24 8278872.71 "PMDB" 1 0 0 0 0 0 0 0 0 0 1 72 0.0769230769230769 0 0.0769230769230769 0.0769230769230769 0.0769230769230769 0.0769230769230769 0 0 0.0769230769230769 0.384615384615385 46.9230769230769 0 1 1 0 1 1 1 0 1 1 1 0 0 1 1 0 1 0 1
"Serra Talhada" "PE" 3 "Nordeste" 2613909 81.1 80 82.1 85.1 79.8 93.5 "261390" 21.4 21.3 21.4 23.8 24.8 25.5 17.7 13.9 30 4.7 4.7 2979.97 12867 9553 33878586.2 32137539.28 15362655.92 "PT" 0 0 0 0 0 0 1 0 1 0 0 56 0 0 0.0588235294117647 0 0 0 0.117647058823529 0 0.117647058823529 1 51.9411764705882 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1
"Lajedo do Tabocal" "BA" 2 "Nordeste" 2919058 33.3 20 50 48.9 40 55 "291905" 23.3 32.4 16.9 17.3 14.7 21.1 27.2 13.2 41.1 4.7 3.4 423.79 1666 1357 7207848.62 5705195.36 2990839.23 "PSD" 0 0 1 0 0 0 0 0 0 1 0 47 0.111111111111111 0.111111111111111 0 0.222222222222222 0.111111111111111 0.111111111111111 0 0.111111111111111 0 0.555555555555556 38.8888888888889 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
